,Slope (%),aspect_sin,aspect_cos,Elevation (m),NDVI,Dist_Near_Road (m),Dist_Tailing (m),Silt (%),Clay (%),pH,TDS (mg/L),SOM (g/kg),Cu (mg/kg),Zn (mg/kg),Pb (mg/kg)
Slope (%),1.0,-0.02752809819985833,0.06086974293382351,-0.09185469907201047,0.14529671260509824,-0.09158617149276838,0.039305338432016584,-0.04942729267709367,0.008228393357874956,0.0943276021428532,0.005345479956002053,0.2682897279577614,-0.029426285021651302,0.031227418484584057,-0.16110701423365778
aspect_sin,-0.02752809819985833,1.0,-0.14113060009062112,-0.0021020414997423155,-0.035490201300569214,0.06519762295431374,0.0813834725100838,0.005354541072274365,0.1241036277992202,-0.004671708148738289,-0.010061490611161692,0.15637467810754171,0.12131450254443452,0.19787391914851615,0.03152185868771819
aspect_cos,0.06086974293382351,-0.14113060009062112,1.0,0.15966824060811774,0.3838137946539112,-0.34399277996633215,0.27363807665945894,-0.040766344585053044,-0.20264635752747306,0.09291745772178368,-0.022016555055724505,-0.13094734619799,-0.06375875171760823,-0.0634533225638731,0.11889774985820505
Elevation (m),-0.09185469907201047,-0.0021020414997423155,0.15966824060811774,1.0,0.04317366861465219,0.2972333087067371,-0.24404139106714337,-0.11579042077384381,-0.10272386257647478,-0.18298179697043243,-0.18490492945809742,0.014546619342262836,0.27392010780149056,-0.06286220849964387,-0.032890497640135186
NDVI,0.14529671260509824,-0.035490201300569214,0.3838137946539112,0.04317366861465219,1.0,-0.27212116657688984,0.19000710884304683,-0.18116245706102038,-0.4025597166431638,0.045138481060139464,0.10662000300197921,-0.029423706099263473,-0.11483839048519207,0.0249055912943609,0.28625962919658016
Dist_Near_Road (m),-0.09158617149276838,0.06519762295431374,-0.34399277996633215,0.2972333087067371,-0.27212116657688984,1.0,-0.8700019348698571,-0.17359559075157896,0.14971984825534448,-0.1464753091556044,-0.45457677664542406,0.07839296286834148,0.2971037930234068,-0.18617113945273697,-0.41875463696516435
Dist_Tailing (m),0.039305338432016584,0.0813834725100838,0.27363807665945894,-0.24404139106714337,0.19000710884304683,-0.8700019348698571,1.0,0.1123290530719922,-0.05819251818220664,0.17499553506716956,0.3738890377069366,-0.09400822420140453,-0.4318899789189738,0.1947069253950979,0.3581084837563297
Silt (%),-0.04942729267709367,0.005354541072274365,-0.040766344585053044,-0.11579042077384381,-0.18116245706102038,-0.17359559075157896,0.1123290530719922,1.0,0.20977128980635978,0.05680910386968263,0.3375385174605912,0.17315656880053884,0.13013685892111992,0.1647358038443387,0.08017718942910818
Clay (%),0.008228393357874956,0.1241036277992202,-0.20264635752747306,-0.10272386257647478,-0.4025597166431638,0.14971984825534448,-0.05819251818220664,0.20977128980635978,1.0,0.19480374340378803,-0.23383118216276308,0.10604246620209579,-0.07159815672344033,-0.04677951303403459,-0.20392181057729294
pH,0.0943276021428532,-0.004671708148738289,0.09291745772178368,-0.18298179697043243,0.045138481060139464,-0.1464753091556044,0.17499553506716956,0.05680910386968263,0.19480374340378803,1.0,0.03328302377542098,0.09429025058227863,-0.10419580236460167,0.018995259989772136,0.03187768674680855
TDS (mg/L),0.005345479956002053,-0.010061490611161692,-0.022016555055724505,-0.18490492945809742,0.10662000300197921,-0.45457677664542406,0.3738890377069366,0.3375385174605912,-0.23383118216276308,0.03328302377542098,1.0,0.24085415442846134,-0.09636991348063102,0.24084277120285066,0.24933777859755982
SOM (g/kg),0.2682897279577614,0.15637467810754171,-0.13094734619799,0.014546619342262836,-0.029423706099263473,0.07839296286834148,-0.09400822420140453,0.17315656880053884,0.10604246620209579,0.09429025058227863,0.24085415442846134,1.0,0.1457378753051108,0.3909987868469342,0.05060421090633793
Cu (mg/kg),-0.029426285021651302,0.12131450254443452,-0.06375875171760823,0.27392010780149056,-0.11483839048519207,0.2971037930234068,-0.4318899789189738,0.13013685892111992,-0.07159815672344033,-0.10419580236460167,-0.09636991348063102,0.1457378753051108,1.0,0.26001773689696134,0.21184205038699014
Zn (mg/kg),0.031227418484584057,0.19787391914851615,-0.0634533225638731,-0.06286220849964387,0.0249055912943609,-0.18617113945273697,0.1947069253950979,0.1647358038443387,-0.04677951303403459,0.018995259989772136,0.24084277120285066,0.3909987868469342,0.26001773689696134,1.0,0.660152738594026
Pb (mg/kg),-0.16110701423365778,0.03152185868771819,0.11889774985820505,-0.032890497640135186,0.28625962919658016,-0.41875463696516435,0.3581084837563297,0.08017718942910818,-0.20392181057729294,0.03187768674680855,0.24933777859755982,0.05060421090633793,0.21184205038699014,0.660152738594026,1.0
